2/17/22,other,"The following two-year community college course have been added back to AREA II on ALL STARS guides where appropriate. These courses were removed in October 2021, but they apparently are still being offered at Jefferson State Community College. HUM 299 (Area II), HUM 299-01 (Area II), HUM 299-02 (Area II), HUM 299-03 (Area II)"
11/15/21,correction,"REVISION: A note on the ""Biomedical Sciences"" STARS guide in Area IV was updated. The note is on HIS 101 & 102. Auburn University (AU)and the University of Alabama at Birmingham (UAB) will accept His 101 & 102. Previously, only UAB was listed as accepting those courses."
11/8/21,correction,"REVISION: The University of Alabama was removed from the ""Engineering - Industrial & Systems"" STARS guide. It is no longer offered by the University of Alabama."
10/25/21,correction,"REVISION: Hositality, Sport, and Tourism Management (Troy Only) guide was updated. In Area III, the sciences were open up to any of the approved science courses in Area III. In Area V, BUS 271 was removed as a requirement as well as the two PE courses. The elective hours in Area V were adjusted from 3-7 to 3-12 SH."
10/25/21,correction,"REVISION: Animal Sciences guide was updated. Since Auburn University is now the only school that offers Animal Sciences, the guide was renamed to Animal Sciences (AU Only). Areas II, IV, and V were updated to reflect Auburn's requirements."
10/21/21,newGuide,"REVISION: Alabama A&M University was removed from the ""Animal Sciences"" STARS guide. It is no longer offered by Alabama A&M University."
10/6/21,other,"The following two-year community college course have been removed from ALL STARS guides. These courses have not been taught at any community college for several years. HUM 130 (Area II), HUM 299 (Area II), HUM 299-01 (Area II), HUM 299-02 (Area II), HUM 299-03 (Area II), IDH 106 (Area II), IDH 110 (Area II), IDH 208 (Area II), IDH 214 (Area II), IDH 107 (Area III), IDH 109 (Area III), IDH 206 (Area IV)"
10/6/21,newGuide,"Guide for ""Cyber Security"" was added to the website."
5/10/21,correction,"REVISION: Preamble note was added at the top of each guide along with updates made to Areas III and V on the following Engineering STARS guides: Engineering - Aerospace, Engineering - Architectural (UA Only), Engineering - Biomedical, Engineering - Biosystems (AU Only), Engineering - Chemical, Engineering - Civil, Engineering - Computer Engineering, Engineering - Construction (UA Only), Engineering - Electrical, Engineering - Environmental (UA Only), Engineering - Industrial & Systems (Name changed from ""Engineering - Industrial""), Engineering - Materials, Engineering - Mechanical, Engineering - Software (AU Only), Engineering - Wireless (AU Only). For information on specific changes, please contact us."
5/10/21,newGuide,"Guide for ""Engineering - Cybersecurity (UAH Only)"" was added to the website."
4/29/21,newGuide,"Guide for ""Genetics / Genomic Sciences"" was added to the website."
3/24/20,other,"The University of Alabama has been removed from the ""Athletic Training"" STARS guide. UA will no longer offer that major beginning Fall 2021."
3/11/20,other,"The University of Alabama has been added to the ""Engineering - Computer Science"" STARS guide and removed from the ""Computer Science"" STARS guide."
1/21/21,newGuide,"REVISION: Auburn University was added to the ""Biomedical Sciences"" STARS guide. Also, a note was added to CIS 146 in Area V letting students know that this course isn't required if transferring to Auburn."
12/7/20,other,"The University of Alabama has been removed from the ""Engineering - Industrial"" STARS guide."
11/18/20,newGuide,"Guide for ""Landscape Architecture (AU Only)"" was added to the website."
11/12/20,newGuide,"REVISION: Updated the ""Interpreter Training (Troy Only)"" STARS guide. In Area II, a note was added that ASL 101 and 102 from Area V will be counted as credit in Area II upon tansfer to Troy. A hisory sequence is now required in Area IV. In Area V, notes were added to ASL 101 and 102 about them being counted in Area II upon transfer to Troy. Also in Area V, added ASL 121 as a requirement and removed the 1-3 SH of electives."
10/28/20,other,"Troy University has been added to the ""Technology, Industrial Technology or Engineering Technology"" STARS guide."
10/21/20,newGuide,"Guide for ""Cinematic Arts and Theatre (UNA Only)"" was added to the website."
10/15/20,other,"The University of Alabama has been removed from the ""Engineering - Computer Science"" STARS guide."
10/13/20,other,"Auburn University at Montgomery has been added to the ""Environmental Sciences"" STARS guide."
10/12/20,correction,"REVISION: Updated the note in Area V of the ""Computer Science"" STARS guide. This is to clearify that students interested in engineering to obtain the ""Engineering - Computer Engineering"" STARS guide."
7/8/20,correction,"REVISION: The ECO 232 requirement in Area IV was removed from the ""Geospatial and Environmental Informatics (AU Only)"" STARS guide. In Area V, CIS 251 was removed and replaced with CIS 256."
7/8/20,correction,"REVISION: The math requirement was changed in Area III on the ""Wildlife Enterprise Management (AU Only)"" STARS guide. Auburn University will now accept MTH 113 or higher."
6/22/20,coursesAdded,Added a new two-year community college course to all applicable guides. The course is DNC 101 Dance Appreciation (3 SH) in Area II.
4/1/20,correction,"REVISION: A note was changed in Area III on the ""Hotel, Restaurant, and Hospitality Management"" STARS guide. Auburn University will now accept MTH 112 or higher."
3/10/20,correction,"REVISION: Alabama A&M University was removed from the ""Art Studio B.F.A."" STARS guide. Alabama A&M University no longer offers this program."
3/9/20,correction,"REVISION: Alabama A&M University was removed from the ""Art Education"" STARS guide. Alabama A&M University no longer offers this program."
2/26/20,newGuide,"Guide for ""Animal Bio-Health Sciences (AAMU Only)"" was added to the website."
2/20/20,newGuide,"Guide for ""Occupational / Career & Technical Education"" was added to the website."
2/13/20,newGuide,"Guide for ""Addiction & Recovery Studies (UA Only)"" was added to the website."
12/12/19,newGuide,"Guide for ""Agricultural Communications (AU Only)"" was added to the website."
11/4/19,newGuide,"REVISION: The template and STARS guide for ""Kinesiology & Exercise Science"" has been updated. Changes were made in Area III and V. Auburn University, University of Alabama, and University of West Alabama were added as institutions that offer this program."
11/4/19,other,"The University of Alabama has been removed from the ""Physical Education"" STARS guide."
10/29/19,other,"The STARS guide for ""Interior Architecture (AU Only)"" has been removed from the system. This degree is only offered as a concurrent major with Architecture. Students should now just follow the ""Architecture (AU Only)"" guide."
10/28/19,correction,"REVISION: The template and STARS guide for ""Interior Design"" has been split into institution specific guides for AU and UA. They are listed as ""Interior Design (AU Only)"" and ""Interior Design (UA Only)""."
10/28/19,correction,"REVISION: The template and STARS guide for ""Human Development & Family Studies"" was updated. In Area II, only 3 SH of literature is now required. Art choices have been limited to ART 100, MUS 101, and THR 120. Students must now complete SPH 106 or 107 as well as IDS102 or PHL 106 or PHL 206. In Area III, the entry level math requirement is now MTH 112. In Area IV, students must now complete 6 SH in a history sequence. In Area V, CHD 209 was added as a requirement. The speech requirement was removed since it is now required in Area II."
10/28/19,correction,"REVISION: The template and STARS guide for ""Apparel & Textiles"" was updated. In Area III, BIO 101, 102, 103, 104 and GLY 101 & 102 were added as science options. The entry level math requirement is now MTH 112 (MTH 110 was removed from the guide)."
10/28/19,newGuide,"Guide for ""Philanthropy and Nonprofit Studies (AU Only)"" was added to the website."
9/30/19,correction,"REVISION: The template and STARS guide for ""Resources and Technology Management (Troy Only)"" was updated. In Area III, PHS 112 Physical Science II was removed as requirement. In Area IV, students may now select 6 SH from ANT 200, ECO 231, ECO 232, GEO 100, and SOC 200. In Area V, BUS 285, GEO 100, PHS 111, PSY 200, and SOC 200 were removed and replaced with up to 12 SH of free electives."
9/9/19,correction,"REVISION: The template and STARS guide for ""Surveying and Geomatics Science (Troy Only)"" was updated. In Area V, MTH 126 Calculus II was removed and replaced with a 3 SH elective from Area II."
8/28/19,newGuide,"Guide for ""Engineering: Software (AU Only)"" and ""Engineering: Wireless (AU Only)"" were added to the website."
8/26/19,correction,"REVISION: Troy was removed from ""Economics B.A."" STARS guide. The only Economics offered at Troy is through the BABA/BSBA degree in the College of Business."
8/22/19,correction,"REVISION: Troy was removed from ""Athletic Training"" STARS guide. Troy no longer offers this program."
7/31/19,newGuide,"Guide for ""Professional Flight (AU Only)"" was added to the website."
7/30/19,correction,REVISION: Physics Education (Middle/High School) was updated to match the existing Physics guide.
7/30/19,newGuide,"Guide for ""Biological and Agricultural Technology Management (AU Only)"" was added to the website."
7/22/19,newGuide,"Guide for ""Aviation Management (AU Only)"" was added to the website."
3/26/19,correction,"REVISION: The template and STARS guide for ""Geospatial and Environmental Informatics (AU Only)"" was updated. In Area V, students may now choose one course from BUS 260, BUS 271, and MTH 265."
2/27/19,correction,"REVISION: The template and STARS guide for ""Natural Resources Management (AU Only)"" was updated. In Area V, students may now choose one course from BUS 260, BUS 271, and MTH 265. Free elective hours were decrease from 8 to 6 hours."
2/27/19,correction,"REVISION: The template and STARS guide for ""Sustainable Biomaterials and Packaging (AU Only)"" was updated. In Area V, students may now choose one course from BUS 260, BUS 271, and MTH 265. Free elective hours were decrease from 8 to 3 hours."
2/27/19,correction,"REVISION: The template and STARS guide for ""Wildlife Ecology & Management (AU Only)"" was updated. In Area V, students may now choose one course from BUS 260, BUS 271, and MTH 265. Also, students may now select a course from GLY 101, PHY 120, and PHY 201."
2/27/19,newGuide,"REVISION: The template and STARS guide for ""Wildlife Enterprise Management (AU Only)"" was updated. The Philosophy/Ethics requirement was moved from Area V to Area II. Due to this, students no longer have a choice of a Literature sequence and must take a History sequence in Area IV. In Area V, students now have a choice between CUA 101 and HMM 105. CUA 111, HEC 140, and PED 224 were added as options. ECO 232 and HMM 252 are now required courses."
2/22/19,other,"The STARS guide for ""Textile Management and Technology (AU Only)"" has been removed from the system. Auburn University no longer offers this major."
